year,FIRE_COUNT
1878.0,1
1895.0,1
1896.0,1
1898.0,5
1900.0,12
1902.0,1
1903.0,2
1905.0,1
1906.0,4
1907.0,10
1908.0,16
1909.0,24
1910.0,90
1911.0,166
1912.0,56
1913.0,84
1914.0,105
1915.0,132
1916.0,131
1917.0,266
1918.0,129
1919.0,165
1920.0,131
1921.0,160
1922.0,116
1923.0,125
1924.0,248
1925.0,91
1926.0,188
1927.0,99
1928.0,166
1929.0,154
1930.0,107
1931.0,215
1932.0,116
1933.0,73
1934.0,132
1935.0,81
1936.0,123
1937.0,59
1938.0,100
1939.0,151
1940.0,88
1941.0,111
1942.0,101
1943.0,114
1944.0,135
1945.0,148
1946.0,102
1947.0,121
1948.0,65
1949.0,170
1950.0,226
1951.0,219
1952.0,172
1953.0,216
1954.0,156
1955.0,170
1956.0,133
1957.0,153
1958.0,167
1959.0,203
1960.0,142
1961.0,166
1962.0,109
1963.0,78
1964.0,137
1965.0,59
1966.0,132
1967.0,111
1968.0,210
1969.0,131
1970.0,233
1971.0,109
1972.0,154
1973.0,150
1974.0,206
1975.0,210
1976.0,133
1977.0,167
1978.0,152
1979.0,365
1980.0,318
1981.0,272
1982.0,145
1983.0,159
1984.0,210
1985.0,210
1986.0,172
1987.0,285
1988.0,256
1989.0,179
1990.0,173
1991.0,87
1992.0,195
1993.0,172
1994.0,214
1995.0,207
1996.0,315
1997.0,186
1998.0,163
1999.0,273
2000.0,180
2001.0,205
2002.0,241
2003.0,339
2004.0,277
2005.0,304
2006.0,314
2007.0,348
2008.0,439
2009.0,254
2010.0,207
2011.0,315
2012.0,350
2013.0,295
2014.0,235
2015.0,317
2016.0,360
2017.0,605
2018.0,416
2019.0,316
2020.0,498
2021.0,387
2022.0,305
2023.0,282
