YEAR,AvgWindSpeed,FireCount
1984,8.09,104
1985,7.72,85
1986,7.8,98
1987,8.02,102
1988,8.19,109
1989,7.61,96
1990,8.23,71
1991,7.17,47
1992,7.87,88
1993,8.31,79
1994,7.45,94
1995,6.89,106
1996,8.11,132
1997,8.0,103
1998,7.8,70
1999,7.33,128
2000,7.6,97
2001,7.44,108
2002,7.46,131
2003,7.32,114
2004,7.47,134
2005,7.39,140
2006,7.39,127
2007,6.8,156
2008,6.9,138
2009,6.73,134
2010,7.14,108
2011,6.8,145
2012,6.83,172
2013,6.71,151
2014,6.88,119
2015,6.97,141
2016,7.41,155
2017,7.46,197
2018,7.44,186
2019,7.56,153
2020,7.07,188
2021,7.34,173
2022,7.3,151
2023,7.53,141
2024,7.33,0
2025,5.99,0
